epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
81,1558.36,0.59852,1.41516,0.00362,0.98584,1,0.995,0.87317,0.61859,1.50978,0.00732,0.000297232,0.000297232,0.000297232
82,1577.1,0.64747,1.41812,0.00319,0.98603,1,0.995,0.87317,0.61659,1.52384,0.00726,0.000283085,0.000283085,0.000283085
83,1595.84,0.71075,1.28718,0.00276,0.98622,1,0.995,0.87317,0.62039,1.53787,0.00728,0.000268938,0.000268938,0.000268938
84,1614.9,0.65473,1.33087,0.0034,0.98635,1,0.995,0.87317,0.61773,1.55092,0.00724,0.000254791,0.000254791,0.000254791
85,1633.9,0.68071,1.23334,0.00364,0.98599,1,0.995,0.87317,0.60836,1.5506,0.00717,0.000240644,0.000240644,0.000240644
86,1652.63,0.63687,1.6004,0.00327,0.98634,1,0.995,0.87317,0.60729,1.54763,0.00723,0.000226497,0.000226497,0.000226497
87,1671.46,0.59609,1.30957,0.00302,0.98659,1,0.995,0.87317,0.60425,1.55336,0.00739,0.000212349,0.000212349,0.000212349
88,1690.46,0.76589,1.31534,0.00342,0.98665,1,0.995,0.87317,0.59954,1.61337,0.00756,0.000198202,0.000198202,0.000198202
89,1709.35,0.651,1.39574,0.00385,0.9868,1,0.995,0.87317,0.6366,1.53146,0.00798,0.000184055,0.000184055,0.000184055
90,1727.87,0.6915,1.41506,0.00402,0.98708,1,0.995,0.87317,0.63604,1.51858,0.00787,0.000169908,0.000169908,0.000169908
91,1746.76,0.59329,1.9693,0.00414,0.98707,1,0.995,0.87317,0.63228,1.51846,0.00767,0.000155761,0.000155761,0.000155761
92,1765.39,0.5696,1.81491,0.00403,0.98699,1,0.995,0.87317,0.62839,1.51479,0.0075,0.000141614,0.000141614,0.000141614
93,1784.1,0.62149,1.86664,0.00368,0.98739,1,0.995,0.86833,0.61779,1.50614,0.00707,0.000127467,0.000127467,0.000127467
94,1802.83,0.55619,1.8684,0.00367,0.98737,1,0.995,0.86833,0.61626,1.49739,0.00696,0.00011332,0.00011332,0.00011332
95,1821.56,0.64629,1.74108,0.0033,0.98756,1,0.995,0.86833,0.62274,1.49541,0.00706,9.91726e-05,9.91726e-05,9.91726e-05
96,1840.16,0.59092,1.75797,0.00313,0.98783,1,0.995,0.86833,0.62632,1.49766,0.00714,8.50255e-05,8.50255e-05,8.50255e-05
97,1859.11,0.60057,1.65906,0.0032,0.98786,1,0.995,0.86625,0.62513,1.49927,0.00711,7.08784e-05,7.08784e-05,7.08784e-05
98,1877.52,0.55427,1.75371,0.00306,0.98785,1,0.995,0.86625,0.62462,1.50088,0.00711,5.67313e-05,5.67313e-05,5.67313e-05
99,1896.19,0.61315,1.69196,0.0037,0.98771,1,0.995,0.86833,0.62158,1.49494,0.00705,4.25842e-05,4.25842e-05,4.25842e-05
100,1915,0.59857,1.94149,0.00376,0.98775,1,0.995,0.86833,0.62259,1.48883,0.00706,2.84371e-05,2.84371e-05,2.84371e-05
